"name-pr","release","concurrencyBugs","configBugs","perfBugs","optimBugs","errorBugs","hangBugs"
"envoy","v1.10.0","22","23","14","1","6","173"
"envoy","v1.11.0","1","0","1","0","0","3"
"envoy","v1.11.1","0","1","0","0","0","2"
"envoy","v1.7.1","25","18","7","0","9","232"
"envoy","v1.8.0","24","8","2","0","3","124"
"envoy","v1.9.0","0","1","0","0","1","2"
"envoy","v1.9.1","0","0","0","0","0","0"
"google-cloud-cpp","0.4.0-pre1","0","0","0","0","0","0"
"google-cloud-cpp","v0.10.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.10.0-pre1","0","0","0","0","0","0"
"google-cloud-cpp","v0.10.0-pre2","2","6","1","0","0","19"
"google-cloud-cpp","v0.11.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.11.0-pre1","3","2","0","0","3","9"
"google-cloud-cpp","v0.12.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.12.0-pre1","3","3","1","0","1","10"
"google-cloud-cpp","v0.2.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.2.0-pre1","9","7","2","1","9","39"
"google-cloud-cpp","v0.3.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.3.0-pre1","0","0","0","0","0","0"
"google-cloud-cpp","v0.3.0-pre2","8","2","1","0","2","13"
"google-cloud-cpp","v0.4.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.4.0-pre2","1","3","0","0","10","25"
"google-cloud-cpp","v0.5.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.5.0-pre1","2","2","1","0","10","31"
"google-cloud-cpp","v0.6.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.6.0-pre1","0","0","0","0","0","0"
"google-cloud-cpp","v0.6.1","4","5","0","1","0","24"
"google-cloud-cpp","v0.7.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.7.0-pre1","3","5","0","0","5","23"
"google-cloud-cpp","v0.8.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.8.0-pre","0","0","0","0","1","0"
"google-cloud-cpp","v0.8.1","6","0","0","0","2","13"
"google-cloud-cpp","v0.9.0","0","0","0","0","0","0"
"google-cloud-cpp","v0.9.0-pre1","0","0","0","0","0","0"
"licode","pre-v6.1","0","0","0","0","0","0"
"licode","pre-v6.2","0","0","0","0","0","0"
"licode","pre-v6.3","1","0","0","0","0","0"
"licode","pre-v6.4","0","0","0","0","0","0"
"licode","pre-v6.5","0","0","0","0","0","0"
"licode","pre-v6.6","1","0","0","0","0","0"
"licode","pre-v6.7","0","0","0","0","0","0"
"licode","pre-v7.1","1","0","0","0","1","1"
"licode","pre-v7.10","1","0","0","0","0","0"
"licode","pre-v7.11","1","0","0","0","0","0"
"licode","pre-v7.12","1","0","0","0","0","0"
"licode","pre-v7.13","0","0","0","0","0","0"
"licode","pre-v7.14","1","0","0","0","0","0"
"licode","pre-v7.2","0","0","0","0","0","0"
"licode","pre-v7.3","1","0","0","0","0","0"
"licode","pre-v7.4","0","0","0","0","0","0"
"licode","pre-v7.5","0","0","0","0","0","0"
"licode","pre-v7.6","0","0","0","0","0","0"
"licode","pre-v7.7","0","0","0","0","1","0"
"licode","pre-v7.8","0","0","0","0","0","1"
"licode","pre-v7.9","4","0","0","0","0","0"
"licode","v6","5","0","0","0","1","1"
"mesos","1.4.2","0","0","0","0","0","0"
"mesos","1.4.2-rc1","2","2","0","1","0","35"
"mesos","1.4.3","0","0","0","0","0","0"
"mesos","1.4.3-rc1","0","1","0","0","0","4"
"mesos","1.4.3-rc2","42","30","12","6","3","182"
"mesos","1.5.2","0","0","0","0","0","0"
"mesos","1.5.2-rc1","0","0","0","0","0","4"
"mesos","1.5.2-rc2","1","0","0","0","0","12"
"mesos","1.5.2-rc3","0","0","0","0","0","10"
"mesos","1.5.3","0","0","0","0","0","0"
"mesos","1.5.3-rc1","34","15","14","2","7","170"
"mesos","1.6.2","0","0","0","0","0","0"
"mesos","1.6.2-rc1","34","5","14","9","1","194"
"mesos","1.7.0","0","0","0","0","0","0"
"mesos","1.7.0-rc1","1","0","0","0","0","1"
"mesos","1.7.0-rc2","0","0","1","1","0","14"
"mesos","1.7.0-rc3","1","0","6","5","0","52"
"mesos","1.7.1","0","0","0","0","0","0"
"mesos","1.7.1-rc1","0","0","0","0","0","7"
"mesos","1.7.1-rc2","1","0","0","0","0","15"
"mesos","1.7.2","0","0","0","0","0","0"
"mesos","1.7.2-rc1","33","15","22","6","2","350"
"mesos","1.8.0","0","0","0","0","0","0"
"mesos","1.8.0-rc1","0","0","1","0","0","4"
"mesos","1.8.0-rc2","0","0","0","0","0","4"
"mesos","1.8.0-rc3","3","0","1","0","0","26"
"mesos","1.8.1","0","0","0","0","0","0"
"mesos","1.8.1-rc1","26","14","6","4","1","169"
"mesos","1.9.0-rc1","0","0","0","0","0","4"
"mesos","1.9.0-rc2","1","0","0","0","0","3"
"pcl","pcl-1.9.0","0","0","0","0","0","3"
"pcl","pcl-1.9.1","0","0","0","0","0","0"
