ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/0/_synthetic,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,SourceLine/0/_primary,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath
Found JAX-RS REST endpoint,org.eclipse.che.multiuser.organization.api.OrganizationService.org.eclipse.che.multiuser.organization.api.OrganizationService.find(String) is a REST Web Service endpoint,In OrganizationService.java,org.eclipse.che.multiuser.organization.api.OrganizationService,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,In class org.eclipse.che.multiuser.organization.api.OrganizationService,org.eclipse.che.multiuser.organization.api.OrganizationService,true,org.eclipse.che.multiuser.organization.api.OrganizationService,157,158,0,130,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,In method org.eclipse.che.multiuser.organization.api.OrganizationService.find(String),org.eclipse.che.multiuser.organization.api.OrganizationService,find,(Ljava/lang/String;)Lorg/eclipse/che/multiuser/organization/shared/dto/OrganizationDto;,false,true,At OrganizationService.java:[lines 157-158],org.eclipse.che.multiuser.organization.api.OrganizationService,157,158,0,130,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,6efb3c4b714d45b938a35b0bc01801ab,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,org.eclipse.che.multiuser.organization.api.OrganizationService.org.eclipse.che.multiuser.organization.api.OrganizationService.getById(String) is a REST Web Service endpoint,In OrganizationService.java,org.eclipse.che.multiuser.organization.api.OrganizationService,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,In class org.eclipse.che.multiuser.organization.api.OrganizationService,org.eclipse.che.multiuser.organization.api.OrganizationService,true,org.eclipse.che.multiuser.organization.api.OrganizationService,139,139,0,82,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,In method org.eclipse.che.multiuser.organization.api.OrganizationService.getById(String),org.eclipse.che.multiuser.organization.api.OrganizationService,getById,(Ljava/lang/String;)Lorg/eclipse/che/multiuser/organization/shared/dto/OrganizationDto;,false,true,At OrganizationService.java:[line 139],org.eclipse.che.multiuser.organization.api.OrganizationService,139,139,0,82,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,9f54f46982fc40580e4a4992b9c458ae,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.multiuser.organization.api.OrganizationService.org.eclipse.che.multiuser.organization.api.OrganizationService.getByParent(String, int, int) is a REST Web Service endpoint",In OrganizationService.java,org.eclipse.che.multiuser.organization.api.OrganizationService,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,In class org.eclipse.che.multiuser.organization.api.OrganizationService,org.eclipse.che.multiuser.organization.api.OrganizationService,true,org.eclipse.che.multiuser.organization.api.OrganizationService,179,183,0,264,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,"In method org.eclipse.che.multiuser.organization.api.OrganizationService.getByParent(String, int, int)",org.eclipse.che.multiuser.organization.api.OrganizationService,getByParent,(Ljava/lang/String;II)Ljavax/ws/rs/core/Response;,false,true,At OrganizationService.java:[lines 179-183],org.eclipse.che.multiuser.organization.api.OrganizationService,179,183,0,264,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,70ed54d3f21ed28ca9c603eeb060b87b,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,org.eclipse.che.multiuser.organization.api.OrganizationService.org.eclipse.che.multiuser.organization.api.OrganizationService.remove(String) is a REST Web Service endpoint,In OrganizationService.java,org.eclipse.che.multiuser.organization.api.OrganizationService,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,In class org.eclipse.che.multiuser.organization.api.OrganizationService,org.eclipse.che.multiuser.organization.api.OrganizationService,true,org.eclipse.che.multiuser.organization.api.OrganizationService,124,125,0,64,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,In method org.eclipse.che.multiuser.organization.api.OrganizationService.remove(String),org.eclipse.che.multiuser.organization.api.OrganizationService,remove,(Ljava/lang/String;)V,false,true,At OrganizationService.java:[lines 124-125],org.eclipse.che.multiuser.organization.api.OrganizationService,124,125,0,64,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,9181126a67e18f10b0f55b340c88e308,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.multiuser.organization.api.OrganizationService.org.eclipse.che.multiuser.organization.api.OrganizationService.update(String, OrganizationDto) is a REST Web Service endpoint",In OrganizationService.java,org.eclipse.che.multiuser.organization.api.OrganizationService,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,In class org.eclipse.che.multiuser.organization.api.OrganizationService,org.eclipse.che.multiuser.organization.api.OrganizationService,true,org.eclipse.che.multiuser.organization.api.OrganizationService,110,111,0,105,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,"In method org.eclipse.che.multiuser.organization.api.OrganizationService.update(String, OrganizationDto)",org.eclipse.che.multiuser.organization.api.OrganizationService,update,(Ljava/lang/String;Lorg/eclipse/che/multiuser/organization/shared/dto/OrganizationDto;)Lorg/eclipse/che/multiuser/organization/shared/dto/OrganizationDto;,false,true,At OrganizationService.java:[lines 110-111],org.eclipse.che.multiuser.organization.api.OrganizationService,110,111,0,105,OrganizationService.java,org/eclipse/che/multiuser/organization/api/OrganizationService.java,java\org\eclipse\che\multiuser\organization\api\OrganizationService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,411a36a09adec545061c9a3bf0b0f51f,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In OrganizationNotificationEmailSender.java,org.eclipse.che.multiuser.organization.api.notification.OrganizationNotificationEmailSender,OrganizationNotificationEmailSender.java,org/eclipse/che/multiuser/organization/api/notification/OrganizationNotificationEmailSender.java,java\org\eclipse\che\multiuser\organization\api\notification\OrganizationNotificationEmailSender.java,In class org.eclipse.che.multiuser.organization.api.notification.OrganizationNotificationEmailSender,org.eclipse.che.multiuser.organization.api.notification.OrganizationNotificationEmailSender,true,org.eclipse.che.multiuser.organization.api.notification.OrganizationNotificationEmailSender,76,102,0,320,OrganizationNotificationEmailSender.java,org/eclipse/che/multiuser/organization/api/notification/OrganizationNotificationEmailSender.java,java\org\eclipse\che\multiuser\organization\api\notification\OrganizationNotificationEmailSender.java,In method org.eclipse.che.multiuser.organization.api.notification.OrganizationNotificationEmailSender.onEvent(OrganizationEvent),org.eclipse.che.multiuser.organization.api.notification.OrganizationNotificationEmailSender,onEvent,(Lorg/eclipse/che/multiuser/organization/shared/event/OrganizationEvent;)V,false,true,At OrganizationNotificationEmailSender.java:[line 100],org.eclipse.che.multiuser.organization.api.notification.OrganizationNotificationEmailSender,100,100,142,142,OrganizationNotificationEmailSender.java,org/eclipse/che/multiuser/organization/api/notification/OrganizationNotificationEmailSender.java,java\org\eclipse\che\multiuser\organization\api\notification\OrganizationNotificationEmailSender.java,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,24a0a0e3166f50ff18952951e591cb20,0,0,true,At OrganizationNotificationEmailSender.java:[line 100],org.eclipse.che.multiuser.organization.api.notification.OrganizationNotificationEmailSender,100,100,139,139,OrganizationNotificationEmailSender.java,org/eclipse/che/multiuser/organization/api/notification/OrganizationNotificationEmailSender.java,java\org\eclipse\che\multiuser\organization\api\notification\OrganizationNotificationEmailSender.java,Sink method Logger.error(...),Logger.error(...),Sink method,117,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.capResources(String, List) is a REST Web Service endpoint",In OrganizationResourcesDistributionService.java,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,In class org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,true,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,88,101,0,317,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,"In method org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.capResources(String, List)",org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,capResources,(Ljava/lang/String;Ljava/util/List;)V,false,true,At OrganizationResourcesDistributionService.java:[lines 88-101],org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,88,101,0,317,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,dd3be463fd0eb9586fa997c041c867d6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.getDistributedResources(String, int, long) is a REST Web Service endpoint",In OrganizationResourcesDistributionService.java,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,In class org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,true,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,142,147,0,260,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,"In method org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.getDistributedResources(String, int, long)",org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,getDistributedResources,(Ljava/lang/String;IJ)Ljavax/ws/rs/core/Response;,false,true,At OrganizationResourcesDistributionService.java:[lines 142-147],org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,142,147,0,260,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,d1289ac207dc489fb2761ca698fed84b,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.getResourcesCap(String) is a REST Web Service endpoint,In OrganizationResourcesDistributionService.java,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,In class org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,true,org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,119,119,0,106,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,In method org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService.getResourcesCap(String),org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,getResourcesCap,(Ljava/lang/String;)Ljava/util/List;,false,true,At OrganizationResourcesDistributionService.java:[line 119],org.eclipse.che.multiuser.organization.api.resource.OrganizationResourcesDistributionService,119,119,0,106,OrganizationResourcesDistributionService.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationResourcesDistributionService.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationResourcesDistributionService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,9725efcb530c40b60d57e14defbf3278,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In OrganizationalAccountAvailableResourcesProvider.java,org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,OrganizationalAccountAvailableResourcesProvider.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationalAccountAvailableResourcesProvider.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationalAccountAvailableResourcesProvider.java,In class org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,true,org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,95,108,0,331,OrganizationalAccountAvailableResourcesProvider.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationalAccountAvailableResourcesProvider.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationalAccountAvailableResourcesProvider.java,In method org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider.getAvailableOrganizationResources(Organization),org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,getAvailableOrganizationResources,(Lorg/eclipse/che/multiuser/organization/shared/model/Organization;)Ljava/util/List;,false,true,At OrganizationalAccountAvailableResourcesProvider.java:[line 103],org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,103,103,107,107,OrganizationalAccountAvailableResourcesProvider.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationalAccountAvailableResourcesProvider.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationalAccountAvailableResourcesProvider.java,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,da680b592275fda45166205bd832db1e,0,0,true,At OrganizationalAccountAvailableResourcesProvider.java:[line 105],org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,105,105,86,86,OrganizationalAccountAvailableResourcesProvider.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationalAccountAvailableResourcesProvider.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationalAccountAvailableResourcesProvider.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,117,At OrganizationalAccountAvailableResourcesProvider.java:[line 106],org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,106,106,96,96,OrganizationalAccountAvailableResourcesProvider.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationalAccountAvailableResourcesProvider.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationalAccountAvailableResourcesProvider.java,At OrganizationalAccountAvailableResourcesProvider.java:[line 107],org.eclipse.che.multiuser.organization.api.resource.OrganizationalAccountAvailableResourcesProvider,107,107,103,103,OrganizationalAccountAvailableResourcesProvider.java,org/eclipse/che/multiuser/organization/api/resource/OrganizationalAccountAvailableResourcesProvider.java,java\org\eclipse\che\multiuser\organization\api\resource\OrganizationalAccountAvailableResourcesProvider.java
